model_id	method_family	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
lobe_roi_segmentation_loss_continue_5000_to10000__semantic_v2_summary_tables__5b09b79b	lobe_roi_segmentation_loss_continue_5000_to10000	outputs/lobe_roi_segmentation_loss_continue_5000_to10000/full200/update_06000/semantic_v1_v2_strict_eval/semantic_v2_summary_tables	/common/lidxxlab/chushu/RexGroundingCT/outputs/lobe_roi_segmentation_loss_continue_5000_to10000/checkpoints/checkpoint_update_6000.pth	0.35363191436506036	298	0.7821522309711286	False	5b09b79b1ac7836e057e7fade95dbd93dddc5476507f4c262dea6ba4bee0c85d	0.3258656336221286	0.3767284551201633	0.4233902076075827	0.4025690642162002
prompt_location_u10k__semantic_A_e10_s10_fw10	prompt_location_alignment_loss_v1_noattention_from_update8000_to10000	outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/full381_update10000/semantic_posthoc	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/checkpoints/checkpoint_update_10000.pth	0.34797807313195694	295	0.7742782152230971	False	43d488e67b5489a8a085b96c2ec3bafa918681e93137ab6493ea3febb99c22c7	0.3394938581827743	0.3447448171156098	0.3879858614900097	0.40700210054193886
nonattention_baseline_selection__semantic_v2_summary_tables__a1b37791	nonattention_baseline_selection	outputs/nonattention_baseline_selection/full381_update10000/semantic_v1_v2_strict_eval/semantic_v2_summary_tables	/common/lidxxlab/chushu/RexGroundingCT/outputs/voxtell_v11_e1e-5_d1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_10000.pth	0.3473931466391062	295	0.7742782152230971	False	a1b37791e35d57fc093eb66829f79725c5c429fd151b43addac03923dd036447	0.3430538130805368	0.3446081237028939	0.3882180812836479	0.4049602422485175
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__update_10000__de0cd397	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/postprocess_axial_smoothing/full200_currentbaseline/sigma_0p5mm/full_volume/update_10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.3457915938917155	290	0.7611548556430446	False	de0cd3974b06ba357bb2c1861c160e465c10506e3a30841b97bc97c57a69e21e	0.3343828974137074	0.361318350832211	0.3776081358410919	0.4026643861174949
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__resample_baseline_update10000__1bf09c0e	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.34508090072683734	290	0.7611548556430446	True	1bf09c0e907196faa7f5dd0d700e0a5d468169f353a6ec31332ab6b2bab18b45	0.3338854989332298	0.3619962742827398	0.3778247886630567	0.4004475731610996
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__update_10000__66d820f1	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/postprocess_axial_smoothing/full200_currentbaseline/sigma_0p0mm/full_volume/update_10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.34506245759032467	290	0.7611548556430446	False	66d820f1cf6c67202863f8232e66c290e80684f05ee2a046cdcd6f34faaa4c91	0.3338865438133548	0.3619902041131819	0.3778121341166678	0.4004049543213157
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__resample_s3_1over1_allcat_update10000__0baf1191	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_s3_1over1_allcat_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/s3_1over1_allcat_h200_retry/checkpoints/checkpoint_update_10000.pth	0.34314338928422927	288	0.7559055118110236	True	0baf1191e41cd71dd5774eb1642162e952d1fdb47a726e2831e1f9e6d5eee6da	0.3320744019813798	0.3599615773327083	0.3809663459131053	0.396697045531561
resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd__resample_d075_baseline_update10000__e490373c	resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000/voxtell_model/fold_0/checkpoint_final.pth	0.3424869880783371	297	0.7795275590551181	True	e490373c0b15f8ab367ee8d7931a4f5960d66a283826ed0003cff483c5cc6b2f	0.3422133697461759	0.3598951478609602	0.3784442556828485	0.3901996835639967
resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd__resample_d075_baseline_update6000__87fb07eb	resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update6000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_6000.pth	0.3404922025776901	294	0.7716535433070866	True	87fb07ebbb00737f94120692b6f750d915e05fce2e4d1749b65970489808f21e	0.340409258274067	0.3627040735437403	0.3755810955253561	0.3907867408391663
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__resample_s3_1over1_allcat_update4000__65f82531	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_s3_1over1_allcat_update4000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/s3_1over1_allcat_h200_retry/checkpoints/checkpoint_update_4000.pth	0.33848390720702987	286	0.7506561679790026	True	65f82531055ed551cde16e03aa5f6fb8c25d315482f657a51835a9d71a8bb9e8	0.3112478932341597	0.3485293863954102	0.4073920385741706	0.3856486589369828
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update5000__0b0b5171	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from4000_to5000/checkpoints/checkpoint_update_5000.pth	0.33835609873366407	293	0.7690288713910761	True	0b0b51710dd3ed376eecd31c3b89bd83de894e337494c0a134f603c3e3ae1851	0.3358631609969916	0.3539446721369281	0.3805816591096219	0.3866837793995437
sampler_ablation_restricted_vs_inclusive_5k__update_04400__1cf9a47d	sampler_ablation_restricted_vs_inclusive_5k	outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200_bf16_cached/update_04400		0.33809790901431325	292	0.7664041994750657	True	1cf9a47d94cf325306cb91d3e3f1f013f758e4dcb16778484629f0d79112a385	0.3228583317765039	0.3429455039880059	0.3966835486533668	0.3912098671732187
sampler_ablation_restricted_vs_inclusive_5k__update_04400__6366b010	sampler_ablation_restricted_vs_inclusive_5k	outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200/update_04400	/common/lidxxlab/chushu/RexGroundingCT/outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200_models/update_04400/fold_0/checkpoint_final.pth	0.3380612992164414	292	0.7664041994750657	True	6366b0104b5f7f1fe0630dff459e1f8dacd034a8061e6f3d9ab437e354526c66	0.3230254100902994	0.3432223639726451	0.396117950458564	0.3911963603153424
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update8000__79e72982	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update8000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from5000_to8000/checkpoints/checkpoint_update_8000.pth	0.3371608851658041	293	0.7690288713910761	True	79e72982bc1b1629d1aaf06f4adca7ecd3f99e2e45b6ccdfbc46db16cb9c8f7e	0.3337614250813243	0.3541063797827538	0.3845463488279349	0.3831565201926849
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update6600__8ea52dfc	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update6600	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from5000_to8000/checkpoints/checkpoint_update_6600.pth	0.336337875804696	293	0.7690288713910761	True	8ea52dfcddeae504df3b4bf20adbbcf0b1ac326e8942d7a5a37e87e7674120da	0.3350878120593776	0.3515520078271208	0.3825742509799146	0.3815605268336639
s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd__update_09000__5d4fb46a	s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd	outputs/s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/postprocess_axial_smoothing/full200_currentbaseline/sigma_0p5mm/full_volume/update_09000	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_9000.pth	0.33632632482641284	289	0.7585301837270341	False	5d4fb46aed14f46367912b410a37c29645d77459c87d90d38de6b7e9d75d1d74	0.3365990465781227	0.3571175388947095	0.3861799559288098	0.3717004015020109
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update6000__b93bd690	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update6000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from5000_to8000/checkpoints/checkpoint_update_6000.pth	0.33631515095530234	293	0.7690288713910761	True	b93bd690cdab2a5551e5dc18ecd6e8b4580674a2e42749e27b847f0b7d3dbd3d	0.3347597224159803	0.3542337043205324	0.3863692929224717	0.3794315632027218
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update6800__280ed488	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update6800	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from5000_to8000/checkpoints/checkpoint_update_6800.pth	0.33590951757405824	295	0.7742782152230971	True	280ed4880a9406a979f0b47908a212c7cdc7a2b4436c06aa3e9464d5652033a6	0.3352605420639571	0.3520960981403218	0.381784667738517	0.3803085347699958
resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd__resample_d075_baseline_update5000__e2494247	resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_5000.pth	0.33583362490777063	298	0.7821522309711286	True	e2494247cf281e4fb1390c88b0e58365a57a70b570024f6b2243801570a65973	0.3263057789100633	0.3513684752490204	0.3977926281708335	0.3733026405690881
less_fan_conditioning_10k__c0_b0_update6800__21802344	less_fan_conditioning_10k	outputs/less_fan_conditioning_10k/full200_selected/c0_b0_update6800	/common/lidxxlab/chushu/RexGroundingCT/outputs/less_fan_conditioning_10k/c0_b0_continue/checkpoints/checkpoint_update_6800.pth	0.3356495726600387	296	0.7769028871391076	True	21802344efc1ab8bf41035d5cabba1088c96452626573db0545d32773d686a4d	0.3278458617255328	0.3602540400444106	0.3857838993245199	0.3783978333225322
category_continuous_router_from_s3_u9000__best__4d50029f	category_continuous_router_from_s3_u9000	outputs/category_continuous_router_from_s3_u9000/full_validation/best	/common/lidxxlab/chushu/RexGroundingCT/outputs/category_continuous_router_from_s3_u9000/evaluation_model/fold_0/checkpoint_final.pth	0.335546934464216	289	0.7585301837270341	True	4d50029fa5dbf815fd2d76254d0787e6919af4d024b6da041c5331e4b395e115	0.3358097358776266	0.3578426043263598	0.3866225419893026	0.3692651962331244
s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd__update_09000__3cd3b8eb	s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd	outputs/s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/postprocess_axial_smoothing/full200_currentbaseline/sigma_0p0mm/full_volume/update_09000	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_1over1_allcat_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_9000.pth	0.3355400997528429	289	0.7585301837270341	False	3cd3b8ebde6b541129699af38dc6d06ca4fa5cc276ba802e87957434b9443a6d	0.3358320875659452	0.3578408565055386	0.3865965845577218	0.3692446333401014
controlled_v11_selected_full200__s3_update9000__77cbe37f	controlled_v11_selected_full200	outputs/controlled_v11_selected_full200/s3_update9000	/common/lidxxlab/chushu/RexGroundingCT/outputs/controlled_v11_selected_full200/models/s3_update9000/fold_0/checkpoint_final.pth	0.3355345029481685	289	0.7585301837270341	True	77cbe37ff1d729d40f771f451ca17114d6e748ac365f97c49e0cde1ee1976656	0.3358308682530442	0.3578317727581574	0.3865785699516634	0.3692417537426509
category_continuous_router_from_s3_u9000__final__4c4bab38	category_continuous_router_from_s3_u9000	outputs/category_continuous_router_from_s3_u9000/full_validation/final	/common/lidxxlab/chushu/RexGroundingCT/outputs/category_continuous_router_from_s3_u9000/evaluation_model/fold_0/checkpoint_final.pth	0.3354107995679498	289	0.7585301837270341	True	4c4bab38af633409ae436da3814d68ae8f4693f2a5e5784affc880a575e79251	0.3358626168578187	0.3577814996309892	0.3865566808096635	0.3689057757781642
prompt_location_alignment_loss_v1_noattention_from_update8000_to10000__full381_update10000__476e16cb	prompt_location_alignment_loss_v1_noattention_from_update8000_to10000	outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/full381_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/checkpoints/checkpoint_update_10000.pth	0.33537662110356864	293	0.7690288713910761	True	476e16cb4caffb1bf9d57367b1e387666ffb098096c51c19d531737d5ad6ae51	0.3326976208828863	0.341985480300171	0.3786224312476122	0.3814541571243404
controlled_v11_selected_full200__s3_update10000__78ef6065	controlled_v11_selected_full200	outputs/controlled_v11_selected_full200/s3_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/controlled_v11_selected_full200/models/s3_update10000/fold_0/checkpoint_final.pth	0.33520055271651383	290	0.7611548556430446	True	78ef60655b6e50466be3c85defc2747b808a29f3cb448a126e6bc9e3e2e6b682	0.3321007235275123	0.3588883835132406	0.3860034363974432	0.371123577490752
less_fan_conditioning_10k__c2_less_update9000__a2d657e4	less_fan_conditioning_10k	outputs/less_fan_conditioning_10k/full200_selected/c2_less_update9000	/common/lidxxlab/chushu/RexGroundingCT/outputs/less_fan_conditioning_10k/c2_less_encoder_conditioning/checkpoints/checkpoint_update_9000.pth	0.3347717125566298	290	0.7611548556430446	True	a2d657e4b9c60e8daf1efb58d3a537de458e5d9c51e54a6015f313b2d4029bd6	0.3293922776457458	0.3496889970884773	0.387103936848597	0.371963115782108
