method_family	model_id	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__resample_baseline_update10000__1bf09c0e	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.34508090072683734	290	0.7611548556430446	True	1bf09c0e907196faa7f5dd0d700e0a5d468169f353a6ec31332ab6b2bab18b45	0.3338854989332298	0.3619962742827398	0.3778247886630567	0.4004475731610996
resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd	resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd__resample_d075_baseline_update10000__e490373c	outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000/voxtell_model/fold_0/checkpoint_final.pth	0.3424869880783371	297	0.7795275590551181	True	e490373c0b15f8ab367ee8d7931a4f5960d66a283826ed0003cff483c5cc6b2f	0.3422133697461759	0.3598951478609602	0.3784442556828485	0.3901996835639967
word_global_v11_b3_low_lr_poly_full200_selected	word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update5000__0b0b5171	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from4000_to5000/checkpoints/checkpoint_update_5000.pth	0.33835609873366407	293	0.7690288713910761	True	0b0b51710dd3ed376eecd31c3b89bd83de894e337494c0a134f603c3e3ae1851	0.3358631609969916	0.3539446721369281	0.3805816591096219	0.3866837793995437
sampler_ablation_restricted_vs_inclusive_5k	sampler_ablation_restricted_vs_inclusive_5k__update_04400__1cf9a47d	outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200_bf16_cached/update_04400	/common/lidxxlab/chushu/RexGroundingCT/outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200_models/update_04400/fold_0/checkpoint_final.pth	0.33809790901431325	292	0.7664041994750657	True	1cf9a47d94cf325306cb91d3e3f1f013f758e4dcb16778484629f0d79112a385	0.3228583317765039	0.3429455039880059	0.3966835486533668	0.3912098671732187
less_fan_conditioning_10k	less_fan_conditioning_10k__c0_b0_update6800__21802344	outputs/less_fan_conditioning_10k/full200_selected/c0_b0_update6800	/common/lidxxlab/chushu/RexGroundingCT/outputs/less_fan_conditioning_10k/c0_b0_continue/checkpoints/checkpoint_update_6800.pth	0.3356495726600387	296	0.7769028871391076	True	21802344efc1ab8bf41035d5cabba1088c96452626573db0545d32773d686a4d	0.3278458617255328	0.3602540400444106	0.3857838993245199	0.3783978333225322
category_continuous_router_from_s3_u9000	category_continuous_router_from_s3_u9000__best__4d50029f	outputs/category_continuous_router_from_s3_u9000/full_validation/best	/common/lidxxlab/chushu/RexGroundingCT/outputs/category_continuous_router_from_s3_u9000/evaluation_model/fold_0/checkpoint_final.pth	0.335546934464216	289	0.7585301837270341	True	4d50029fa5dbf815fd2d76254d0787e6919af4d024b6da041c5331e4b395e115	0.3358097358776266	0.3578426043263598	0.3866225419893026	0.3692651962331244
controlled_v11_selected_full200	controlled_v11_selected_full200__s3_update9000__77cbe37f	outputs/controlled_v11_selected_full200/s3_update9000	/common/lidxxlab/chushu/RexGroundingCT/outputs/controlled_v11_selected_full200/models/s3_update9000/fold_0/checkpoint_final.pth	0.3355345029481685	289	0.7585301837270341	True	77cbe37ff1d729d40f771f451ca17114d6e748ac365f97c49e0cde1ee1976656	0.3358308682530442	0.3578317727581574	0.3865785699516634	0.3692417537426509
prompt_location_alignment_loss_v1_noattention_from_update8000_to10000	prompt_location_alignment_loss_v1_noattention_from_update8000_to10000__full381_update10000__476e16cb	outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/full381_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/checkpoints/checkpoint_update_10000.pth	0.33537662110356864	293	0.7690288713910761	True	476e16cb4caffb1bf9d57367b1e387666ffb098096c51c19d531737d5ad6ae51	0.3326976208828863	0.341985480300171	0.3786224312476122	0.3814541571243404
a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000	a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000__update_09500__d5e52334	outputs/a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000/full_validation/update_09500	/common/lidxxlab/chushu/RexGroundingCT/outputs/a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000/checkpoints/checkpoint_update_9500.pth	0.33467875428160426	291	0.7637795275590551	True	d5e523342ceb694577c587f18a2d6e489c3dc7720a0a7e770393f0d739f5552c	0.3178832686026484	0.355269357803091	0.375859043064357	0.3806524064230806
b3_bico_e345_v11	b3_bico_e345_v11__b3_bico_e345_update5000__753ef2d1	outputs/b3_bico_e345_v11/training/full200/b3_bico_e345_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_bico_e345_v11/training/checkpoints/checkpoint_update_5000.pth	0.33467684706377754	291	0.7637795275590551	True	753ef2d13ae0c8f09f9ce7fbc14f425d78e9cf694c67af08ce9b88f7794ebdab	0.3376993777315772	0.3534517836632262	0.3850163318572406	0.3734646147429686
