model_id	method_family	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
lobe_roi_segmentation_loss_continue_5000_to10000__semantic_v2_summary_tables__5b09b79b	lobe_roi_segmentation_loss_continue_5000_to10000	outputs/lobe_roi_segmentation_loss_continue_5000_to10000/full200/update_06000/semantic_v1_v2_strict_eval/semantic_v2_summary_tables	/common/lidxxlab/chushu/RexGroundingCT/outputs/lobe_roi_segmentation_loss_continue_5000_to10000/checkpoints/checkpoint_update_6000.pth	0.35363191436506036	298	0.7821522309711286	False	5b09b79b1ac7836e057e7fade95dbd93dddc5476507f4c262dea6ba4bee0c85d	0.3258656336221286	0.3767284551201633	0.4233902076075827	0.4025690642162002
prompt_location_u10k__semantic_A_e10_s10_fw10	prompt_location_alignment_loss_v1_noattention_from_update8000_to10000	outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/full381_update10000/semantic_posthoc	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/checkpoints/checkpoint_update_10000.pth	0.34797807313195694	295	0.7742782152230971	False	43d488e67b5489a8a085b96c2ec3bafa918681e93137ab6493ea3febb99c22c7	0.3394938581827743	0.3447448171156098	0.3879858614900097	0.40700210054193886
nonattention_baseline_selection__semantic_v2_summary_tables__a1b37791	nonattention_baseline_selection	outputs/nonattention_baseline_selection/full381_update10000/semantic_v1_v2_strict_eval/semantic_v2_summary_tables	/common/lidxxlab/chushu/RexGroundingCT/outputs/voxtell_v11_e1e-5_d1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_10000.pth	0.3473931466391062	295	0.7742782152230971	False	a1b37791e35d57fc093eb66829f79725c5c429fd151b43addac03923dd036447	0.3430538130805368	0.3446081237028939	0.3882180812836479	0.4049602422485175
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__update_10000__de0cd397	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/postprocess_axial_smoothing/full200_currentbaseline/sigma_0p5mm/full_volume/update_10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.3457915938917155	290	0.7611548556430446	False	de0cd3974b06ba357bb2c1861c160e465c10506e3a30841b97bc97c57a69e21e	0.3343828974137074	0.361318350832211	0.3776081358410919	0.4026643861174949
resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd__resample_baseline_update10000__1bf09c0e	resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d1p0_h0p7_w0p7_v1_v11_controlled_10kupd/baseline/checkpoints/checkpoint_update_10000.pth	0.34508090072683734	290	0.7611548556430446	True	1bf09c0e907196faa7f5dd0d700e0a5d468169f353a6ec31332ab6b2bab18b45	0.3338854989332298	0.3619962742827398	0.3778247886630567	0.4004475731610996
resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd__resample_d075_baseline_update10000__e490373c	resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd	outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/resampling_fixed_d0p75_h0p7_w0p7_v1_v11_controlled_10kupd/full200/resample_d075_baseline_update10000/voxtell_model/fold_0/checkpoint_final.pth	0.3424869880783371	297	0.7795275590551181	True	e490373c0b15f8ab367ee8d7931a4f5960d66a283826ed0003cff483c5cc6b2f	0.3422133697461759	0.3598951478609602	0.3784442556828485	0.3901996835639967
word_global_v11_b3_low_lr_poly_full200_selected__b3_low_lr_update5000__0b0b5171	word_global_v11_b3_low_lr_poly_full200_selected	outputs/word_global_v11_b3_low_lr_poly_full200_selected/b3_low_lr_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_b3_low_lr_poly_from4000_to5000/checkpoints/checkpoint_update_5000.pth	0.33835609873366407	293	0.7690288713910761	True	0b0b51710dd3ed376eecd31c3b89bd83de894e337494c0a134f603c3e3ae1851	0.3358631609969916	0.3539446721369281	0.3805816591096219	0.3866837793995437
sampler_ablation_restricted_vs_inclusive_5k__update_04400__1cf9a47d	sampler_ablation_restricted_vs_inclusive_5k	outputs/sampler_ablation_restricted_vs_inclusive_5k/S1_inclusive/full200_bf16_cached/update_04400		0.33809790901431325	292	0.7664041994750657	True	1cf9a47d94cf325306cb91d3e3f1f013f758e4dcb16778484629f0d79112a385	0.3228583317765039	0.3429455039880059	0.3966835486533668	0.3912098671732187
less_fan_conditioning_10k__c0_b0_update6800__21802344	less_fan_conditioning_10k	outputs/less_fan_conditioning_10k/full200_selected/c0_b0_update6800	/common/lidxxlab/chushu/RexGroundingCT/outputs/less_fan_conditioning_10k/c0_b0_continue/checkpoints/checkpoint_update_6800.pth	0.3356495726600387	296	0.7769028871391076	True	21802344efc1ab8bf41035d5cabba1088c96452626573db0545d32773d686a4d	0.3278458617255328	0.3602540400444106	0.3857838993245199	0.3783978333225322
category_continuous_router_from_s3_u9000__best__4d50029f	category_continuous_router_from_s3_u9000	outputs/category_continuous_router_from_s3_u9000/full_validation/best	/common/lidxxlab/chushu/RexGroundingCT/outputs/category_continuous_router_from_s3_u9000/evaluation_model/fold_0/checkpoint_final.pth	0.335546934464216	289	0.7585301837270341	True	4d50029fa5dbf815fd2d76254d0787e6919af4d024b6da041c5331e4b395e115	0.3358097358776266	0.3578426043263598	0.3866225419893026	0.3692651962331244
controlled_v11_selected_full200__s3_update9000__77cbe37f	controlled_v11_selected_full200	outputs/controlled_v11_selected_full200/s3_update9000	/common/lidxxlab/chushu/RexGroundingCT/outputs/controlled_v11_selected_full200/models/s3_update9000/fold_0/checkpoint_final.pth	0.3355345029481685	289	0.7585301837270341	True	77cbe37ff1d729d40f771f451ca17114d6e748ac365f97c49e0cde1ee1976656	0.3358308682530442	0.3578317727581574	0.3865785699516634	0.3692417537426509
prompt_location_alignment_loss_v1_noattention_from_update8000_to10000__full381_update10000__476e16cb	prompt_location_alignment_loss_v1_noattention_from_update8000_to10000	outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/full381_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_noattention_from_update8000_to10000/checkpoints/checkpoint_update_10000.pth	0.33537662110356864	293	0.7690288713910761	True	476e16cb4caffb1bf9d57367b1e387666ffb098096c51c19d531737d5ad6ae51	0.3326976208828863	0.341985480300171	0.3786224312476122	0.3814541571243404
a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000__update_09500__d5e52334	a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000	outputs/a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000/full_validation/update_09500	/common/lidxxlab/chushu/RexGroundingCT/outputs/a2_fan_preserve_semantic_grounding_v11_continue_5000_to10000/checkpoints/checkpoint_update_9500.pth	0.33467875428160426	291	0.7637795275590551	True	d5e523342ceb694577c587f18a2d6e489c3dc7720a0a7e770393f0d739f5552c	0.3178832686026484	0.355269357803091	0.375859043064357	0.3806524064230806
b3_bico_e345_v11__b3_bico_e345_update5000__753ef2d1	b3_bico_e345_v11	outputs/b3_bico_e345_v11/training/full200/b3_bico_e345_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_bico_e345_v11/training/checkpoints/checkpoint_update_5000.pth	0.33467684706377754	291	0.7637795275590551	True	753ef2d13ae0c8f09f9ce7fbc14f425d78e9cf694c67af08ce9b88f7794ebdab	0.3376993777315772	0.3534517836632262	0.3850163318572406	0.3734646147429686
nonattention_baseline_selection__full381_update10000__f9c103ca	nonattention_baseline_selection	outputs/nonattention_baseline_selection/full381_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/voxtell_v11_e1e-5_d1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_10000.pth	0.3344536714262334	292	0.7664041994750657	True	f9c103ca318c9aa523175eb9761b0e482fb6d032ce56e9b3f805753c0c57dc02	0.3339566468742799	0.3418389194020353	0.3762116053675713	0.3799499342767214
b3_plus_less_v11__b3_plus_less_update5000__8dc6626e	b3_plus_less_v11	outputs/b3_plus_less_v11/full200/b3_plus_less_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_plus_less_v11/checkpoints/checkpoint_update_5000.pth	0.334277122102467	292	0.7664041994750657	True	8dc6626e918b45afcff2a33722a38b5b5738c365a3f6e65dbfa0313323540cb1	0.3331687476542047	0.3457470793523562	0.4037973111859986	0.3710897476204506
segmote_voxtell_m0_mote_v11_5k__segmote_m0_update3400_thr0p40_full200__f3a82624	segmote_voxtell_m0_mote_v11_5k	outputs/segmote_voxtell_m0_mote_v11_5k/full200_threshold_sweep/segmote_m0_update3400_thr0p40_full200	/common/lidxxlab/chushu/RexGroundingCT/outputs/segmote_voxtell_m0_mote_v11_5k/checkpoints/checkpoint_update_3400.pth	0.33333576270309506	289	0.7585301837270341	True	f3a82624a43ce9469ad5365ad2f9dc2742c116a90bceddf7651c581c08538993	0.3211580292955654	0.3592689847803641	0.3931848977347591	0.3813306578969292
word_global_v11_0to2000__b3_u4000__4a367e79	word_global_v11_0to2000	outputs/word_global_v11_0to2000/full200_best_and_u4000/b3_u4000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_0to2000/B3_candidates_global_router/checkpoints/checkpoint_update_4000.pth	0.3327853880592859	295	0.7742782152230971	True	4a367e790a531faaedf2084e5d3d0b67905d3d798ee76793cfaf7f693ba874cf	0.3390199430965784	0.3482394362278206	0.379223584821213	0.3766133161120665
c2_less_semantic_coadapt_v11__pathology_continue_update_7600__41e10d95	c2_less_semantic_coadapt_v11	outputs/c2_less_semantic_coadapt_v11/p_pathology_continue_full200_selected/full_validation/pathology_continue_update_7600	/common/lidxxlab/chushu/RexGroundingCT/outputs/c2_less_semantic_coadapt_v11/p_pathology_continue_5000_to10000_corrected/checkpoints/checkpoint_update_7600.pth	0.33231951750051825	284	0.7454068241469817	True	41e10d95e343481c8dbcb148f1ea4aa7bfcfad56af1ccbf08004e320e571e1f9	0.3432306621512351	0.3487259841792081	0.3769443512697888	0.3674517517729554
qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000__update_07400__82d735f1	qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000	outputs/qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000/full200_selected/update_07400	/common/lidxxlab/chushu/RexGroundingCT/outputs/qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000/checkpoints/checkpoint_update_7400.pth	0.3294091734811572	290	0.7611548556430446	True	82d735f12815c9172113b293f742ec6e8e45c072e8672114f7bbbb5d9e6f627e	0.328278194575393	0.3673851430897609	0.3844488376748095	0.359573225449048
attention_scale_screen_matched_comparison__base_update6000__b7f764fa	attention_scale_screen_matched_comparison	outputs/attention_scale_screen_matched_comparison/full381/base_update6000		0.3289252128343666	290	0.7611548556430446	True	b7f764fa52068b46be63308db4f66a922a10d367436bda62f0dc46d64396c0d3	0.3190960661831388	0.3653455285760879	0.3903007778262166	0.3610201661858183
s3_full200_every1000__update_06000__8a24d746	s3_full200_every1000	outputs/s3_full200_every1000/results/clean_multiscale_strict2b2c/update_06000	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_multiscale_2b2c_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/voxtell_compatible_models/clean_multiscale_strict2b2c_update6000/fold_0/checkpoint_final.pth	0.32835096750513143	294	0.7716535433070866	True	8a24d74647b8ac264ae0bb10bbd7f590e0e777c70ec6f2c128b8d798b4d2478c	0.3195817379536875	0.3676216094099972	0.3901622690101776	0.3556005755237357
attention_scale_screen_1_2_u500__update500__646afe72	attention_scale_screen_1_2_u500	outputs/attention_scale_screen_1_2_u500/full381/update500		0.32658874396275234	287	0.7532808398950132	True	646afe726f7bb78973350736972f90b60f623df16a0df26e60a3d85388499a12	0.3091653826213931	0.3552365754329062	0.3931295329605228	0.3553487858125125
qwen_early_coadaptation_from_v11__C1_update_5000__92378e4c	qwen_early_coadaptation_from_v11	outputs/qwen_early_coadaptation_from_v11/full_validation_selected_checkpoints/full_validation/C1_update_5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/qwen_lora_top6_global_from_v11/checkpoints/checkpoint_update_5000.pth	0.3251869783409958	292	0.7664041994750657	True	92378e4cdb4f77344a805e19fd5bfd3e5235435744164afe09bc5e3cf6f5e1ec	0.3203378715801163	0.3625134776618576	0.3733683257031036	0.3638332307379338
