case,val_index,finding_id,category,row,model,policy,dice,hit,gt_voxels,pred_voxels,tp,fp,fn,pp3_route_corrected
train_19753_a_2.nii.gz,0,0,1e,overall_best,exp007_cont_e050_abs_e150,raw,0.3495980981150687,True,1618,7215,1544,5671,74,False
train_19753_a_2.nii.gz,0,0,1e,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.3495980981150687,True,1618,7215,1544,5671,74,False
train_19753_a_2.nii.gz,0,0,1e,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.3495980981150687,True,1618,7215,1544,5671,74,False
train_19753_a_2.nii.gz,0,0,1e,category_best,exp012_r02_category_2d_replay50_e100,raw,0.3625050724519809,True,1618,5775,1340,4435,278,False
train_19753_a_2.nii.gz,0,0,1e,category_best,exp012_r02_category_2d_replay50_e100,pp2_whole_lung20,0.3625050724519809,True,1618,5775,1340,4435,278,False
train_19753_a_2.nii.gz,0,0,1e,category_best,exp012_r02_category_2d_replay50_e100,pp3_fine20_corrected_routes,0.3625050724519809,True,1618,5775,1340,4435,278,False
train_19753_a_2.nii.gz,0,0,1e,iso07_best,exp017_cont_e050_abs_e150,raw,0.3039643307837584,True,1618,8699,1568,7131,50,False
train_19753_a_2.nii.gz,0,0,1e,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.3039643307837584,True,1618,8699,1568,7131,50,False
train_19753_a_2.nii.gz,0,0,1e,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.3039643307837584,True,1618,8699,1568,7131,50,False
train_19753_a_2.nii.gz,0,1,2c,overall_best,exp007_cont_e050_abs_e150,raw,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,category_best,exp007_cont_e050_abs_e150,raw,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.6429358207548287,True,40778,30943,23056,7887,17722,False
train_19753_a_2.nii.gz,0,1,2c,iso07_best,exp017_cont_e050_abs_e150,raw,0.3063812481642565,True,40778,13318,8287,5031,32491,False
train_19753_a_2.nii.gz,0,1,2c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.3063812481642565,True,40778,13318,8287,5031,32491,False
train_19753_a_2.nii.gz,0,1,2c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.3063812481642565,True,40778,13318,8287,5031,32491,False
